storage_type,CAP[USD/MWh],FOM[USD/MWh],VOM[USD/MWh],LIFE,country,year,source
BATS,265000,620,0,20,XY,2025,Example
BATS,160000,300,0,25,XY,2030,Example
BATS,160000,300,0,25,XY,2035,Example
BATS,160000,300,0,25,XY,2040,Example
BATS,160000,300,0,25,XY,2045,Example
BATS,86000,150,0,30,XY,2050,Example
BATS,265000,620,2,20,YZ,2025,Example
BATS,160000,300,2,25,YZ,2030,Example
BATS,160000,300,2,25,YZ,2035,Example
BATS,160000,300,2,25,YZ,2040,Example
BATS,160000,300,2,25,YZ,2045,Example
BATS,86000,150,2,30,YZ,2050,Example
CO2STOR,2550,90,0,100,XY,2025,Example
CO2STOR,2550,90,0,100,XY,2030,Example
CO2STOR,2550,90,0,100,XY,2035,Example
CO2STOR,2550,90,0,100,XY,2040,Example
CO2STOR,2550,90,0,100,XY,2045,Example
CO2STOR,2550,90,0,100,XY,2050,Example
CO2STOR,2550,90,0,100,YZ,2025,Example
CO2STOR,2550,90,0,100,YZ,2030,Example
CO2STOR,2550,90,0,100,YZ,2035,Example
CO2STOR,2550,90,0,100,YZ,2040,Example
CO2STOR,2550,90,0,100,YZ,2045,Example
CO2STOR,2550,90,0,100,YZ,2050,Example
HHBS,400000,930,0,20,XY,2025,Example
HHBS,240000,465,0,20,XY,2030,Example
HHBS,240000,465,0,20,XY,2035,Example
HHBS,240000,465,0,20,XY,2040,Example
HHBS,240000,465,0,20,XY,2045,Example
HHBS,130000,230,0,20,XY,2050,Example
HHBS,400000,931.5,3,20,YZ,2025,Example
HHBS,240000,465,3,20,YZ,2030,Example
HHBS,240000,465,3,20,YZ,2035,Example
HHBS,240000,465,3,20,YZ,2040,Example
HHBS,240000,465,3,20,YZ,2045,Example
HHBS,130000,200,3,20,YZ,2050,Example
HPHS,200000,1000,0,50,XY,2025,Example
HPHS,200000,1000,0,50,XY,2030,Example
HPHS,200000,1000,0,50,XY,2035,Example
HPHS,200000,1000,0,50,XY,2040,Example
HPHS,200000,1000,0,50,XY,2045,Example
HPHS,200000,1000,0,50,XY,2050,Example
HPHS,200000,1000,1.4,50,YZ,2025,Example
HPHS,200000,1000,1.4,50,YZ,2030,Example
HPHS,200000,1000,1.4,50,YZ,2035,Example
HPHS,200000,1000,1.4,50,YZ,2040,Example
HPHS,200000,1000,1.4,50,YZ,2045,Example
HPHS,200000,1000,1.4,50,YZ,2050,Example
HYD,750,2,0,20,XY,2025,Example
HYD,750,2,0,20,XY,2030,Example
HYD,750,2,0,20,XY,2035,Example
HYD,750,2,0,20,XY,2040,Example
HYD,750,2,0,20,XY,2045,Example
HYD,750,2,0,20,XY,2050,Example
HYD,750,2,0,20,YZ,2025,Example
HYD,750,2,0,20,YZ,2030,Example
HYD,750,2,0,20,YZ,2035,Example
HYD,750,2,0,20,YZ,2040,Example
HYD,750,2,0,20,YZ,2045,Example
HYD,750,2,0,20,YZ,2050,Example
INLHSTOR,40000,600,0,30,XY,2025,Example
INLHSTOR,35000,500,0,30,XY,2030,Example
INLHSTOR,30000,400,0,30,XY,2035,Example
INLHSTOR,28000,400,0,30,XY,2040,Example
INLHSTOR,25000,340,0,30,XY,2045,Example
INLHSTOR,22000,340,0,30,XY,2050,Example
INLHSTOR,40000,600,0,30,YZ,2025,Example
INLHSTOR,35000,500,0,30,YZ,2030,Example
INLHSTOR,30000,400,0,30,YZ,2035,Example
INLHSTOR,28000,400,0,30,YZ,2040,Example
INLHSTOR,25000,340,0,30,YZ,2045,Example
INLHSTOR,22000,340,0,30,YZ,2050,Example
