powerplant_type,cap__usd_mw,fom__usd_mwa,vom__usd_mwh,life__years,country,year,source
BATS,311000,0,2.3,20,,2025,Example
BATS,184000,0,2,25,,2030,Example
BATS,184000,0,2,25,,2035,Example
BATS,184000,0,2,25,,2040,Example
BATS,184000,0,2,25,,2045,Example
BATS,69000,0,1.8,30,,2050,Example
BIOT,1717000,47500,3,25,,2025,Example
BIOT,1645000,45500,3,25,,2030,Example
BIOT,1645000,45500,3,25,,2035,Example
BIOT,1645000,45500,3,25,,2040,Example
BIOT,1538000,42550,3,25,,2045,Example
BIOT,1430000,39600,3,25,,2050,Example
CCGT,878000,22000,2,35,,2025,Example
CCGT,878000,22000,2,35,,2030,Example
CCGT,878000,22000,2,35,,2035,Example
CCGT,878000,22000,2,35,,2040,Example
CCGT,878000,22000,2,35,,2045,Example
CCGT,878000,22000,2,35,,2050,Example
CHP,1700000,49000,3,25,,2025,Example
CHP,1600000,45500,2.5,25,,2030,Example
CHP,1600000,45500,2.5,25,,2035,Example
CHP,1500000,45500,2.5,25,,2040,Example
CHP,1500000,45500,2.5,25,,2045,Example
CHP,1400000,39500,2.5,25,,2050,Example
CSP,777000,13000,0,20,,2025,Example
CSP,749000,12000,0,20,,2030,Example
CSP,668000,12000,0,20,,2035,Example
CSP,587000,11000,0,20,,2040,Example
CSP,550000,10000,0,20,,2045,Example
CSP,513000,10000,0,20,,2050,Example
DAC,600000,25,0,25,,2025,Example
DAC,450000,15,0,25,,2030,Example
DAC,350000,13,0,25,,2035,Example
DAC,250000,11,0,25,,2040,Example
DAC,240000,9,0,25,,2045,Example
DAC,220000,8,0,25,,2050,Example
EDLH,2040000,82000,0,30,,2025,Example
EDLH,2040000,82000,0,30,,2030,Example
EDLH,2040000,82000,0,30,,2035,Example
EDLH,2040000,82000,0,30,,2040,Example
EDLH,2040000,82000,0,30,,2045,Example
EDLH,2040000,82000,0,30,,2050,Example
EERH,2900000,120000,0,30,,2025,Example
EERH,2900000,120000,0,30,,2030,Example
EERH,2900000,120000,0,30,,2035,Example
EERH,2900000,120000,0,30,,2040,Example
EERH,2900000,120000,0,30,,2045,Example
EERH,2900000,120000,0,30,,2050,Example
EHPP,650000,25000,0,30,,2025,Example
EHPP,650000,25000,0,30,,2030,Example
EHPP,650000,25000,0,30,,2035,Example
EHPP,650000,25000,0,30,,2040,Example
EHPP,650000,25000,0,30,,2045,Example
EHPP,650000,25000,0,30,,2050,Example
EIDT,400000,18000,0,30,,2025,Example
EIDT,400000,18000,0,30,,2030,Example
EIDT,400000,18000,0,30,,2035,Example
EIDT,400000,18000,0,30,,2040,Example
EIDT,400000,18000,0,30,,2045,Example
EIDT,400000,18000,0,30,,2050,Example
ELTZ,650000,21000,0,18,,2025,Example
ELTZ,350000,19000,0,18,,2030,Example
ELTZ,300000,15000,0,18,,2035,Example
ELTZ,250000,13000,0,18,,2040,Example
ELTZ,230000,11000,0,18,,2045,Example
ELTZ,200000,10000,0,18,,2050,Example
EVCH-PRV,10000,1,1,20,,2025,Example
EVCH-PRV,10000,1,1,20,,2030,Example
EVCH-PRV,10000,1,1,20,,2035,Example
EVCH-PRV,10000,1,1,20,,2040,Example
EVCH-PRV,10000,1,1,20,,2045,Example
EVCH-PRV,10000,1,1,20,,2050,Example
EVCH-PUB,10000,1,1,20,,2025,Example
EVCH-PUB,10000,1,1,20,,2030,Example
EVCH-PUB,10000,1,1,20,,2035,Example
EVCH-PUB,10000,1,1,20,,2040,Example
EVCH-PUB,10000,1,1,20,,2045,Example
EVCH-PUB,10000,1,1,20,,2050,Example
EVST_PRV,2000000,690,0,30,,2025,Example
EVST_PRV,1500000,690,0,30,,2030,Example
EVST_PRV,1200000,690,0,30,,2035,Example
EVST_PRV,1100000,690,0,30,,2040,Example
EVST_PRV,900000,690,0,30,,2045,Example
EVST_PRV,670000,690,0,30,,2050,Example
EVST_PUB,1870000,690,0,30,,2025,Example
EVST_PUB,1530000,690,0,30,,2030,Example
EVST_PUB,1330000,690,0,30,,2035,Example
EVST_PUB,1100000,690,0,30,,2040,Example
EVST_PUB,900000,690,0,30,,2045,Example
EVST_PUB,678000,690,0,30,,2050,Example
FITR,1070000,32000,6,100,,2025,Example
FITR,1070000,32000,6,100,,2030,Example
FITR,1070000,32000,6,100,,2035,Example
FITR,965000,28000,6,100,,2040,Example
FITR,965000,28000,6,100,,2045,Example
FITR,965000,28000,6,100,,2050,Example
GEOT,4750000,90000,0,40,,2025,Example
GEOT,4490000,90000,0,40,,2030,Example
GEOT,4260000,90000,0,40,,2035,Example
GEOT,4000000,90000,0,40,,2040,Example
GEOT,3930000,90000,0,40,,2045,Example
GEOT,3830000,90000,0,40,,2050,Example
HDAM,2100000,40000,0,50,,2025,Example
HDAM,2100000,40000,0,50,,2030,Example
HDAM,2100000,40000,0,50,,2035,Example
HDAM,2100000,40000,0,50,,2040,Example
HDAM,2100000,40000,0,50,,2045,Example
HDAM,2100000,40000,0,50,,2050,Example
HHBS,465000,0,0,20,,2025,Example
HHBS,270000,0,0,20,,2030,Example
HHBS,270000,0,0,20,,2035,Example
HHBS,270000,0,0,20,,2040,Example
HHBS,270000,0,0,20,,2045,Example
HHBS,200000,0,0,20,,2050,Example
HPHS,890000,9000,2,50,,2025,Example
HPHS,890000,9000,2,50,,2030,Example
HPHS,890000,9000,2,50,,2035,Example
HPHS,890000,9000,2,50,,2040,Example
HPHS,890000,9000,2,50,,2045,Example
HPHS,890000,9000,2,50,,2050,Example
HROR,2120000,40000,0,50,,2025,Example
HROR,2120000,40000,0,50,,2030,Example
HROR,2120000,40000,0,50,,2035,Example
HROR,2120000,40000,0,50,,2040,Example
HROR,2120000,40000,0,50,,2045,Example
HROR,2120000,40000,0,50,,2050,Example
IND_BOILER,220000,50000,6,25,,2025,Example
IND_BOILER,220000,50000,6,25,,2030,Example
IND_BOILER,220000,50000,6,25,,2035,Example
IND_BOILER,220000,50000,6,25,,2040,Example
IND_BOILER,220000,50000,6,25,,2045,Example
IND_BOILER,220000,50000,6,25,,2050,Example
INLHSTOR,400000,600,0,30,,2025,Example
INLHSTOR,340000,500,0,30,,2030,Example
INLHSTOR,280000,400,0,30,,2035,Example
INLHSTOR,230000,300,0,30,,2040,Example
INLHSTOR,230000,300,0,30,,2045,Example
INLHSTOR,230000,300,0,30,,2050,Example
METH,870000,30000,0,30,,2025,Example
METH,670980,23000,0,30,,2030,Example
METH,572930,20000,0,30,,2035,Example
METH,474880,16000,0,30,,2040,Example
