attribute,type,unit,default,description,status
country,string,n/a,n/a,country,Input (optional)
bus2,string,n/a,n/a,2nd bus,Input (optional)
bus3,string,n/a,n/a,3rd bus,Input (optional)
bus4,string,n/a,n/a,4th bus,Input (optional)
efficiency2,static or series,per unit,1,2nd bus efficiency,Input (optional)
efficiency3,static or series,per unit,1,3rd bus efficiency,Input (optional)
efficiency4,static or series,per unit,1,4th bus efficiency,Input (optional)
p2,series,MW,0,2nd bus output,Output
p3,series,MW,0,3rd bus output,Output
p4,series,MW,0,4th bus output,Output
inv_cost,float,currency/MW,0,investment cost,Input (optional)
fom_cost,float,currency/MW,0,fix operational cost,Input (optional)
r_rating,float,per unit,0,reserve contribution rating,Input (optional)
