country,node,bus,carrier
XY,XY_CE,XY_CE_IND-LH,Low_Heat
XY,XY_NR,XY_NR_IND-LH,Low_Heat
XY,XY_SO,XY_SO_IND-LH,Low_Heat
XY,XY_CE,XY_CE_IND-HH,High_Heat
XY,XY_NR,XY_NR_IND-HH,High_Heat
XY,XY_SO,XY_SO_IND-HH,High_Heat
XY,XY_CE,XY_CE_INLHSTORN,Low_Heat
XY,XY_NR,XY_NR_INLHSTORN,Low_Heat
XY,XY_SO,XY_SO_INLHSTORN,Low_Heat
YZ,YZ_CE,YZ_CE_IND-LH,Low_Heat
YZ,YZ_NR,YZ_NR_IND-LH,Low_Heat
YZ,YZ_SO,YZ_SO_IND-LH,Low_Heat
YZ,YZ_CE,YZ_CE_IND-HH,High_Heat
YZ,YZ_NR,YZ_NR_IND-HH,High_Heat
YZ,YZ_SO,YZ_SO_IND-HH,High_Heat
YZ,YZ_CE,YZ_CE_INLHSTORN,Low_Heat
YZ,YZ_NR,YZ_NR_INLHSTORN,Low_Heat
YZ,YZ_SO,YZ_SO_INLHSTORN,Low_Heat
